title,words
youth,what
youth,i
youth,consider
youth,to
youth,have
youth,been
youth,the
youth,beginning
youth,of
youth,my
youth,youth
youth,i
youth,have
youth,said
youth,that
youth,my
youth,friendship
youth,with
youth,dimitri
youth,opened
youth,up
youth,for
youth,me
youth,a
youth,new
youth,view
youth,of
youth,my
youth,life
youth,and
youth,of
youth,its
youth,aim
youth,and
youth,relations
youth,the
youth,essence
youth,of
youth,that
youth,view
youth,lay
youth,in
youth,the
youth,conviction
youth,that
youth,the
youth,destiny
youth,of
youth,man
youth,is
youth,to
youth,strive
youth,for
youth,moral
youth,improvement
youth,and
youth,that
youth,such
youth,improvement
youth,is
youth,at
youth,once
youth,easy
youth,possible
youth,and
youth,lasting
youth,hitherto
youth,however
youth,i
youth,had
youth,found
youth,pleasure
youth,only
youth,in
youth,the
youth,new
youth,ideas
youth,which
youth,i
youth,discovered
youth,to
youth,arise
youth,from
youth,that
youth,conviction
youth,and
youth,in
youth,the
youth,forming
youth,of
youth,brilliant
youth,plans
youth,for
youth,a
youth,moral
youth,active
youth,future
youth,while
youth,all
youth,the
youth,time
youth,my
youth,life
youth,had
youth,been
youth,continuing
youth,along
youth,its
youth,old
youth,petty
youth,muddled
youth,course
youth,and
youth,the
youth,same
youth,virtuous
youth,thoughts
youth,which
youth,i
youth,and
youth,my
youth,adored
youth,friend
youth,dimitri
youth,my
youth,own
youth,marvellous
youth,mitia
youth,as
youth,i
youth,used
youth,to
youth,call
youth,him
youth,to
youth,myself
youth,in
youth,a
youth,whisper
youth,had
youth,been
youth,wont
youth,to
youth,exchange
youth,with
youth,one
youth,another
youth,still
youth,pleased
youth,my
youth,intellect
youth,but
youth,left
youth,my
youth,sensibility
youth,untouched
youth,nevertheless
youth,there
youth,came
youth,a
youth,moment
youth,when
youth,those
youth,thoughts
youth,swept
youth,into
youth,my
youth,head
youth,with
youth,a
youth,sudden
youth,freshness
youth,and
youth,force
youth,of
youth,moral
youth,revelation
youth,which
youth,left
youth,me
youth,aghast
youth,at
youth,the
youth,amount
youth,of
youth,time
youth,which
youth,i
youth,had
youth,been
youth,wasting
youth,and
youth,made
youth,me
youth,feel
youth,as
youth,though
youth,i
youth,must
youth,at
youth,once
youth,that
youth,very
youth,second
youth,apply
youth,those
youth,thoughts
youth,to
youth,life
youth,with
youth,the
youth,firm
youth,intention
youth,of
youth,never
youth,again
youth,changing
youth,them
youth,it
youth,is
youth,from
youth,that
youth,moment
youth,that
youth,i
youth,date
youth,the
youth,beginning
youth,of
youth,my
youth,youth
youth,i
youth,was
youth,then
youth,nearly
youth,sixteen
youth,tutors
youth,still
youth,attended
youth,to
youth,give
youth,me
youth,lessons
youth,jerome
youth,still
youth,acted
youth,as
youth,general
youth,supervisor
youth,of
youth,my
youth,education
youth,and
youth,i
youth,was
youth,being
youth,prepared
youth,for
youth,the
youth,university
youth,in
youth,addition
youth,to
youth,my
youth,studies
youth,my
youth,occupations
youth,included
youth,certain
youth,vague
youth,dreamings
youth,and
youth,ponderings
youth,a
youth,number
youth,of
youth,gymnastic
youth,exercises
youth,to
youth,make
youth,myself
youth,the
youth,finest
youth,athlete
youth,in
youth,the
youth,world
youth,a
youth,good
youth,deal
youth,of
youth,aimless
youth,thoughtless
youth,wandering
youth,through
youth,the
youth,rooms
youth,of
youth,the
youth,house
youth,but
youth,more
youth,especially
youth,along
youth,the
youth,maidservants
youth,corridor
youth,and
youth,much
youth,looking
youth,at
youth,myself
youth,in
youth,the
youth,mirror
youth,from
youth,the
youth,latter
youth,however
youth,i
youth,always
youth,turned
youth,away
youth,with
youth,a
youth,vague
youth,feeling
youth,of
youth,depression
youth,almost
youth,of
youth,repulsion
youth,not
youth,only
youth,did
youth,i
youth,feel
youth,sure
youth,that
youth,my
youth,exterior
youth,was
youth,ugly
youth,but
youth,i
youth,could
youth,derive
youth,no
youth,comfort
youth,from
youth,any
youth,of
youth,the
youth,usual
youth,consolations
youth,under
youth,such
youth,circumstances
youth,i
youth,could
youth,not
youth,say
youth,for
youth,instance
youth,that
youth,i
youth,had
youth,at
youth,least
youth,an
youth,expressive
youth,clever
youth,or
youth,refined
youth,face
youth,for
youth,there
youth,was
youth,nothing
youth,whatever
youth,expressive
youth,about
youth,it
youth,its
youth,features
youth,were
youth,of
youth,the
youth,most
youth,humdrum
youth,dull
youth,and
youth,unbecoming
youth,type
youth,with
youth,small
youth,grey
youth,eyes
youth,which
youth,seemed
youth,to
youth,me
youth,whenever
youth,i
youth,regarded
youth,them
youth,in
youth,the
youth,mirror
youth,to
youth,be
youth,stupid
youth,rather
youth,than
youth,clever
youth,of
youth,manly
youth,bearing
youth,i
youth,possessed
youth,even
youth,less
youth,since
youth,although
youth,i
youth,was
youth,not
youth,exactly
youth,small
youth,of
youth,stature
youth,and
youth,had
youth,moreover
youth,plenty
youth,of
youth,strength
youth,for
